Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fear_greed_index,hash_rate,tx_count,miners_revenue,time_frame,pct_change,log_return,close_norm
2024-10-28,-0.6993061456900304,-0.7094218653752116,-0.6874739303508597,-0.6984255816214198,-0.7442446686149472,XRP,201971034.53503,513182,0.0909608909456967,72.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.4838397522740401,0.0048267300967412,0.0564435875108844
2024-10-29,-0.6966184273348824,-0.7000318691614151,-0.6795425929479191,-0.6887143287434827,-0.6440072351366914,XRP,268047986.90029,563245,0.146156660507699,72.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,1.810477657935272,0.0179428367803084,0.0593668366712277
2024-10-30,-0.6867979179603038,-0.702329421426493,-0.6784707905961703,-0.6943964447890841,-0.7489337461803879,XRP,201716347.22235,481922,0.146156660507699,77.0,1.5217992379842746,3.2774275352884907,0.0421317509040172,1d,-1.0404842981460385,-0.0104593517936233,0.0576564249284736
2024-10-31,-0.6925868498021607,-0.7070244195333911,-0.6962627096351993,-0.7084467681018443,-0.6282905395413849,XRP,271228007.04687,600833,0.146156660507699,77.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-2.599885299177984,-0.0263427977137859,0.0534270431645726
2024-11-01,-0.7066456842752419,-0.7066248452264211,-0.6967986108110736,-0.7048308760728251,-0.3631813194718078,XRP,435732175.69672,846317,0.146156660507699,75.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.6869479882237517,0.00684599250799,0.0545154870008707
2024-11-02,-0.7030276018740812,-0.7149160120960497,-0.6926185816392536,-0.7076202784952113,-0.8629712991677388,XRP,127430013.17597,405595,0.146156660507699,72.0,0.4666411809381782,1.3315466345381783,-0.8771841924862003,1d,-0.5263157894736858,-0.0052770571008437,0.0536758303271551
2024-11-03,-0.7058186940121194,-0.7199106909331755,-0.70837407620996,-0.715265307356566,-0.5723348323227365,XRP,297492932.21316,704485,-0.0068204914463125,74.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-1.4501273760532896,-0.0146074448920065,0.0513745490732678
2024-11-04,-0.7134683539460018,-0.7164144157471876,-0.7039796865677902,-0.7149553737540787,-0.5710400281504909,XRP,302488212.00847,666758,0.146156660507699,70.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.0596540067607787,0.0005963622083116,0.0514678442592362
2024-11-05,-0.7131582325973309,-0.7122188855240018,-0.6974416922221228,-0.7037977640645339,-0.6418349325337587,XRP,261685344.22957,554455,0.146156660507699,70.0,0.7183585225699302,0.2088299534489171,-1.0330427740850183,1d,2.1462639109697923,0.0212355600689343,0.0548264709540987
2024-11-06,-0.7019938640451782,-0.6839490033058704,-0.6842585232956134,-0.6747673166315518,-0.1042984209118239,XRP,614793879.9854,1045555,0.146156660507699,70.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,5.466926070038913,0.0532272208111274,0.0635651200398059
2024-11-07,-0.6728424572701128,-0.6524825266319785,-0.6584280866184689,-0.6605103709171336,-0.0705051777473323,XRP,661862766.61639,1077415,0.146156660507699,77.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,2.545655783065848,0.0251379356931312,0.0678566985943525
2024-11-08,-0.6586802490141414,-0.670663157599116,-0.6546767783873484,-0.6623699725320576,-0.4625025300793195,XRP,399987050.19862,722005,0.146156660507699,75.0,0.8384705767393966,0.6597508805031473,-0.4939558411846458,1d,-0.3237992444684145,-0.0032432460861196,0.0672969274785421
2024-11-09,-0.660644350889057,-0.6685653924875232,-0.6525331736838509,-0.6566878564864562,-0.5098588850885828,XRP,369551819.393,629375,0.146156660507699,75.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,0.9926006136076416,0.009877066918022,0.0690073392212961
2024-11-10,-0.6548554190472001,-0.6118258408977753,-0.6392428245221666,-0.6265209858443538,0.7966599908217346,XRP,1315927062.66717,2047856,1.2897383681496313,78.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,5.218012866333099,0.0508643246233404,0.0780880706555541
2024-11-11,-0.6246702744432316,-0.5971414851166257,-0.6234873299514601,-0.5926349119724031,0.806870162042245,XRP,1339010276.13957,1886688,0.5612685741214353,76.0,0.5982464684004627,0.1688047060631869,-0.2551538598543764,1d,5.57065217391306,0.0542102316387713,0.088288344321433
2024-11-12,-0.590660299872322,-0.4908547194625908,-0.5949773873949438,-0.5066799928825771,4.156043776304927,XRP,4141323674.5837,5690685,4.144479219733504,80.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,13.384813384813366,0.1256172755685319,0.1141622092300037
2024-11-13,-0.5047566862904804,-0.482163978285992,-0.5482468048586988,-0.5218667394044574,2.4278204848786644,XRP,2881758184.92832,4477550,0.8619561061252892,84.0,0.0,1.6476492417300065e-15,-1.0034622242689454e-15,1d,-2.085698070374564,-0.0210775599954135,0.1095907451175519
