Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2024-04-15,65615.9,66874.9,62242.5,63392.7,381532.225,BTC,24677843958.38368,5541668,7.253e-05,74.0,,,,1d
2024-04-16,63392.8,64356.3,61521.0,63765.0,405931.439,BTC,25471361626.3662,5816515,6.330333333333333e-05,65.0,708575761.9190906,454669.0,71877767.00329177,1d
2024-04-17,63764.9,64483.3,59625.0,61254.5,444032.992,BTC,27402345105.77818,6013417,5.494333333333333e-05,67.0,,,,1d
2024-04-18,61254.5,64100.0,60763.8,63445.0,363302.394,BTC,22708533755.01486,5247504,3.195e-05,57.0,,,,1d
2024-04-19,63445.0,65480.0,59541.0,63787.4,574264.058,BTC,36332133260.93782,7729583,3.133666666666667e-05,66.0,648454182.1198951,393190.0,71037817.02949977,1d
2024-04-20,63787.4,65400.0,63045.1,64897.2,197142.262,BTC,12657413510.99301,3203773,4.479333333333333e-05,66.0,,,,1d
2024-04-21,64897.2,65678.7,64214.2,64912.6,160533.948,BTC,10421155519.373,2772884,3.1213333333333335e-05,72.0,,,,1d
2024-04-22,64912.7,67222.0,64470.5,66778.0,246268.411,BTC,16249055489.46204,3973101,2.6013333333333334e-05,73.0,652748580.6769805,671771.0,48173660.1556612,1d
2024-04-23,66777.9,67158.9,65750.0,66386.3,178665.564,BTC,11872124257.8761,2963037,9.736666666666668e-06,71.0,,,,1d
2024-04-24,66386.2,67068.2,63575.0,64250.0,280545.061,BTC,18306883252.6262,4159461,4.587333333333333e-05,72.0,,,,1d
2024-04-25,64250.0,65270.6,62721.3,64478.8,275211.062,BTC,17615966077.8484,4225388,4.076333333333333e-05,72.0,630674365.8262494,526242.0,36409098.09254012,1d
2024-04-26,64478.8,64783.1,63291.5,63748.8,202149.813,BTC,12953589145.9185,3162787,2.652e-05,70.0,,,,1d
2024-04-27,63748.7,63901.4,62332.8,63421.0,167349.109,BTC,10551185173.9539,2753952,6.768e-05,67.0,,,,1d
2024-04-28,63420.9,64350.0,62700.0,63088.3,126056.151,BTC,8016661482.1787,2107056,5.6900000000000014e-06,65.0,613155633.4421867,487521.0,31312027.141232885,1d
2024-04-29,63088.4,64200.0,61726.2,63842.4,228411.163,BTC,14315434994.6138,3576356,4.948e-05,67.0,,,,1d
2024-04-30,63842.4,64700.0,59150.0,60651.2,408747.703,BTC,25092892151.668,5955376,9.631333333333333e-05,67.0,,,,1d
2024-05-01,60651.2,60816.7,56537.7,58307.6,564108.4,BTC,32693924650.62684,7278617,9.616000000000001e-05,54.0,578118168.6740619,478881.0,26377886.0344961,1d
2024-05-02,58307.7,59637.3,56951.6,59036.7,299229.302,BTC,17487969119.06051,4078191,4.2266666666666666e-05,43.0,,,,1d
2024-05-03,59036.7,63333.0,58781.3,62853.7,353606.459,BTC,21564253109.5137,4843487,9.259999999999998e-06,48.0,,,,1d
2024-05-04,62853.7,64547.9,62520.0,63864.2,205205.199,BTC,13034701951.8815,3014542,5.474333333333334e-05,67.0,617535316.5382024,660263.0,30920333.825437855,1d
2024-05-05,63864.3,64644.3,62833.0,63988.0,185495.653,BTC,11834485753.5008,2839676,3.815333333333334e-05,69.0,,,,1d
2024-05-06,63987.9,65500.0,62655.3,63142.8,305110.067,BTC,19505860305.1004,4263955,2.439e-05,71.0,,,,1d
2024-05-07,63142.7,64392.2,62203.6,62296.0,238974.646,BTC,15159034876.2773,3591426,5.5576666666666666e-05,68.0,534321337.7139056,372643.0,26542339.523751885,1d
2024-05-08,62296.0,62994.9,60843.6,61157.9,241651.579,BTC,15009452763.9564,3494846,6.578666666666666e-05,64.0,,,,1d
2024-05-09,61157.9,63447.2,60550.0,63050.1,242451.302,BTC,14981786317.7292,3421818,5.405333333333333e-05,55.0,,,,1d
2024-05-10,63050.0,63446.5,60117.4,60778.1,307214.96,BTC,18938234544.3996,4062914,4.8710000000000006e-05,66.0,599332437.5790136,713791.0,30606208.36564269,1d
2024-05-11,60778.0,61491.4,60432.6,60809.2,113294.787,BTC,6901847057.2759,1791738,5.9063333333333334e-05,53.0,,,,1d
2024-05-12,60809.2,61849.4,60557.3,61455.8,104043.897,BTC,6368574511.4435,1640142,5.144666666666666e-05,56.0,,,,1d
2024-05-13,61455.7,63440.0,60750.0,62912.1,261927.073,BTC,16330380829.2882,3639895,9.206666666666666e-05,57.0,607599091.8904481,554780.0,30355615.83455146,1d
2024-05-14,62912.2,63099.6,60950.0,61550.5,244345.274,BTC,15109206760.3044,3486503,8.086e-05,66.0,,,,1d
2024-05-15,61550.5,66440.0,61316.1,66175.4,365031.68,BTC,23386517394.0322,5236031,3.996e-05,64.0,,,,1d
2024-05-16,66175.4,66800.0,64567.0,65217.7,242455.324,BTC,15938380818.0105,3726304,3.598e-05,70.0,586932456.1118613,476659.0,30728214.692413032,1d
2024-05-17,65217.7,67400.6,65061.2,66980.0,227063.919,BTC,15063429110.742,3410178,1.7213333333333333e-05,74.0,,,,1d
2024-05-18,66980.0,67340.5,66503.2,66884.9,96931.548,BTC,6486954858.0565,1720137,2.6159999999999997e-05,73.0,,,,1d
2024-05-19,66884.9,67750.0,65835.8,66239.4,148170.35,BTC,9905372922.9644,2317479,4.4426666666666666e-05,72.0,636532381.9804695,644119.0,34160984.651538335,1d
2024-05-20,66239.4,71674.6,66010.0,71466.5,366028.078,BTC,25053653945.1351,4894781,3.5459999999999996e-05,70.0,,,,1d
2024-05-21,71466.5,72132.8,69165.6,70168.8,263674.327,BTC,18645631790.235,3771442,0.00010172333333333334,76.0,,,,1d
2024-05-22,70168.7,70715.4,68736.8,69219.1,194160.494,BTC,13560983941.3547,2891356,0.00011919666666666666,76.0,632399054.8247522,583279.0,38917719.969275184,1d
2024-05-23,69219.2,70133.3,66156.6,67999.9,300093.622,BTC,20496503158.0627,3796057,0.0001,76.0,,,,1d
2024-05-24,67999.9,69273.5,66639.0,68584.1,186681.082,BTC,12680535679.1618,2544055,0.0001,74.0,,,,1d
2024-05-25,68584.0,69622.8,68523.7,69314.4,85113.605,BTC,5877646397.3044,1266856,0.0001,76.0,671140034.7624127,835040.0,35951527.47094528,1d
2024-05-26,69314.5,69590.3,68155.0,68524.3,84069.824,BTC,5799029948.6581,1314260,0.0001,75.0,,,,1d
2024-05-27,68524.4,70750.0,68268.7,69461.6,170291.356,BTC,11819516715.6954,2389408,0.0001,74.0,,,,1d
2024-05-28,69461.5,69628.0,67273.0,68440.5,227838.44,BTC,15550387849.887,3195316,0.0001,72.0,562079779.1135205,596790.0,29815772.688825298,1d
2024-05-29,68440.4,68983.0,67129.0,67686.7,158236.599,BTC,10750681624.4071,2408051,0.00010852666666666667,72.0,,,,1d
2024-05-30,67686.8,69568.9,67167.0,68402.5,194573.899,BTC,13292940496.7956,2697789,0.0001,73.0,,,,1d
2024-05-31,68402.6,69080.0,66700.5,67577.9,195751.752,BTC,13295783600.0905,2633330,0.00012289,73.0,620804532.1552316,701471.0,36161250.32432566,1d
2024-06-01,67577.9,67936.0,67480.0,67799.2,50943.058,BTC,3450680244.5259,851468,0.00010083333333333335,72.0,,,,1d
2024-06-02,67799.2,68545.9,67296.3,67805.9,102194.718,BTC,6940423185.8599,1495288,0.0001,73.0,,,,1d
2024-06-03,67805.9,70372.9,67642.6,68851.4,227676.93,BTC,15744535070.2934,2934117,0.00011378333333333333,73.0,658556159.1106174,769224.0,36823366.331727035,1d
2024-06-04,68851.3,71146.4,68595.5,70580.0,216100.016,BTC,15102623849.3892,2752219,0.00010669333333333335,73.0,,,,1d
2024-06-05,70580.0,71824.4,70423.6,71133.3,203992.034,BTC,14506723806.5747,2649339,0.00013204333333333333,75.0,,,,1d
