Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,hash_rate,tx_count,miners_revenue,time_frame
2023-05-11,1839.86,1841.54,1768.42,1793.24,4005939.727,ETH,7238023894.70517,3699503,2.4093333333333332e-05,52.0,,,,1d
2023-05-12,1793.25,1820.0,1735.37,1806.53,4274267.712,ETH,7571365343.22157,3793847,4.5566666666666665e-06,49.0,,,,1d
2023-05-13,1806.53,1816.24,1784.0,1794.44,1794108.348,ETH,3228545808.33887,1928232,2.027e-05,48.0,346023367.89415514,575640.0,27237496.705574512,1d
2023-05-14,1794.44,1825.27,1789.41,1798.25,2065119.626,ETH,3725543210.17867,1990969,2.9346666666666668e-05,48.0,,,,1d
2023-05-15,1798.26,1848.0,1783.51,1815.56,3062945.098,ETH,5584428011.28594,2813445,-1.3773333333333334e-05,50.0,,,,1d
2023-05-16,1815.56,1832.93,1795.0,1823.53,2559941.664,ETH,4647961186.01632,2426443,1.9013333333333333e-05,54.0,365114312.32969475,566462.0,30101350.309985295,1d
2023-05-17,1823.52,1837.85,1781.0,1821.65,3158227.207,ETH,5716856398.18019,2852611,3.738e-05,50.0,,,,1d
2023-05-18,1821.65,1831.46,1770.0,1799.69,3046459.303,ETH,5507830657.71073,2673556,6.523333333333332e-05,51.0,,,,1d
2023-05-19,1799.69,1830.0,1795.72,1811.38,2142895.0,ETH,3879976465.72274,1972008,5.8593333333333334e-05,48.0,369469365.7613961,515474.0,28738962.120203372,1d
2023-05-20,1811.38,1828.88,1805.96,1818.59,1031296.976,ETH,1872602029.56196,1171963,2.8483333333333336e-05,48.0,,,,1d
2023-05-21,1818.59,1828.91,1794.45,1803.89,1397629.152,ETH,2530470510.36566,1365112,2.186e-05,52.0,,,,1d
2023-05-22,1803.9,1827.99,1790.76,1816.67,2270653.543,ETH,4115022438.72039,1983728,5.649666666666667e-05,49.0,354690591.1309403,499281.0,26059060.50144273,1d
2023-05-23,1816.68,1874.23,1814.25,1853.36,2935200.681,ETH,5428836551.9576,2374643,6.723e-05,50.0,,,,1d
2023-05-24,1853.37,1853.5,1775.0,1798.84,3607753.797,ETH,6525113256.73166,2854180,5.0003333333333336e-05,50.0,,,,1d
2023-05-25,1798.84,1819.93,1758.0,1804.65,2893039.67,ETH,5185691223.35058,2045504,2.7340000000000003e-05,51.0,371932494.8664721,460167.0,27253825.798840698,1d
2023-05-26,1804.65,1837.93,1795.99,1826.81,2175357.921,ETH,3959307938.13433,1806113,6.789333333333333e-05,49.0,,,,1d
2023-05-27,1826.81,1835.7,1810.63,1828.85,1194937.504,ETH,2181720432.26159,1189923,2.5866666666666667e-05,48.0,,,,1d
2023-05-28,1828.85,1930.0,1822.31,1908.36,2905772.688,ETH,5415391316.17548,2351903,4.250000000000001e-06,50.0,394100656.8121559,496158.0,29018379.77947518,1d
2023-05-29,1908.36,1928.2,1872.0,1891.5,2477917.179,ETH,4704184612.1712,2042709,0.0001,52.0,,,,1d
2023-05-30,1891.51,1917.0,1880.02,1899.81,2207189.76,ETH,4200115983.3063,1950161,8.128666666666668e-05,51.0,,,,1d
2023-05-31,1899.81,1906.57,1845.0,1872.84,2656970.771,ETH,4967704528.00343,2173059,4.453e-05,51.0,349729770.9452385,421579.0,25853003.322265837,1d
2023-06-01,1872.85,1889.61,1837.94,1860.59,2605797.159,ETH,4857143174.4757,2178965,8.618666666666667e-05,52.0,,,,1d
2023-06-02,1860.59,1911.0,1846.0,1905.58,2646266.39,ETH,4992858140.85456,2296378,7.640666666666667e-05,50.0,,,,1d
2023-06-03,1905.59,1907.09,1878.5,1890.91,1280350.751,ETH,2427982701.83077,1270285,6.269e-05,53.0,331093463.8956832,381453.0,23625499.65267871,1d
2023-06-04,1890.9,1914.53,1883.19,1888.54,1547682.823,ETH,2939610066.72539,1434481,5.235e-05,52.0,,,,1d
2023-06-05,1888.54,1890.01,1775.0,1810.03,4257292.031,ETH,7829891468.02886,3278110,3.369e-05,53.0,,,,1d
2023-06-06,1810.03,1898.0,1796.0,1883.26,4333156.268,ETH,7988336481.22652,3334936,1.2946666666666664e-05,44.0,384577792.6788321,462072.0,27031043.478327114,1d
2023-06-07,1883.26,1897.2,1820.0,1831.31,3703943.621,ETH,6871014307.4863,3143949,7.552666666666668e-05,53.0,,,,1d
2023-06-08,1831.32,1861.41,1827.42,1844.94,1833404.039,ETH,3381316556.27167,1890782,6.098666666666668e-05,50.0,,,,1d
